DISTRICT,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,SUP Total,SUP # Retained,SUP % Retained,PRNC Total,PRNC # Retained,PRNC % Retained,TCHR Total,TCHR # Retained,TCHR % Retained,Total FTE Memb,General Fund Appropriations,"Grants, Revolving & Other Funds",Total Expenditures,Expenditure Per Pupil,SATs Taken,SAT Reading,SAT Writing,SAT Math,EngNot1stLang#,EngNot1stLang%,EngLangLrn#,EngLangLrn%,Disab#,Disab%,HighNeeds#,HighNeeds%,EconDisadv#,EconDisadv%,# Graduated,# Completed MassCore,% Completed MassCore,SCI P+A #,SCI P+A %,SCI A#,SCI A %,SCI P#,SCI P %,SCI NI #,SCI NI %,SCI W/F #,SCI W/F %,SCI Stud. Incl. #,SCI CPI,SCI SGP,SCI Incl. in SGP(#),MTH P+A #,MTH P+A %,MTH A #,MTH A %,MTH P #,MTH P %,MTH NI #,MTH NI %,MTH W/F #,MTH W/F %,MTH Stud. Incl. #,MTH CPI,MTH SGP,MTH Incl. in SGP(#),ELA P+A #,ELA P+A %,ELA A #,ELA A %,ELA P #,ELA P %,ELA NI #,ELA NI %,ELA W/F #,ELA W/F %,ELA Stud. Incl. #,ELA CPI,ELA SGP,ELA Incl. in SGP(#)
Southeastern Regional Vocational Technical,28.6,1,11.8,55.7,0.1,0,2.9,52.6,47.4,1,1,100,1,1,100,114,100,87.7,#N/A,#N/A,#N/A,#N/A,#N/A,176,422,405,420,273,20.6,17,1.3,296,22.4,669,50.5,438,33.1,291,272,93.5,171,55,33,11,138,45,128,41,11,4,310,82.3,N/A,N/A,315,255,78,128,39,127,39,54,16,19,6,328,90.5,53,316,304,93,88,27,216,66,22,7,2,1,328,98,54
Southern Berkshire,1.2,0.1,5.1,88.8,0.3,0,4.5,51.6,48.4,1,0,0,2,2,100,88,86,97.7,909.3,"$13,868,160","$1,978,983","$15,847,143","$17,428",37,530,509,519,23,3,12,1.6,114,14.9,279,36.5,193,25.3,49,49,100,100,67,30,20,70,47,34,23,16,11,150,84.3,N/A,N/A,297,203,54,83,22,120,32,115,30,61,16,379,76.8,48,292,282,75,61,16,221,59,64,17,29,8,375,88.6,46.5
Southern Worcester County Regional Vocational Technical,0.4,0.2,5.1,93.8,0.1,0,0.4,59.6,40.4,1,1,100,1,1,100,110,98,89.1,#N/A,#N/A,#N/A,#N/A,#N/A,103,469,444,485,3,0.3,0,0,207,18.5,396,35.4,259,23.1,225,225,100,197,81,61,25,136,56,38,16,7,3,242,92.6,N/A,N/A,240,216,82,112,42,104,39,31,12,17,6,264,90.5,50,240,251,95,86,32,165,62,14,5,0,0,265,98.3,48
Southwick-Tolland-Granville Regional School District,2.1,0.9,3.7,91.5,0.1,0.1,1.6,51,49,1,1,100,4,4,100,146,127,87,#N/A,#N/A,#N/A,#N/A,#N/A,82,518,514,506,52,3.2,31,1.9,305,18.5,558,33.8,335,20.5,109,64,58.7,228,59,52,13,176,45,138,35,23,6,389,84.4,N/A,N/A,718,528,61,207,24,321,37,247,28,93,11,868,81.9,47,715,614,71,159,18,455,53,199,23,53,6,866,88,39
Spencer-E Brookfield,1.1,0.9,8.4,86.2,0.1,0,3.3,54.1,45.9,1,0,0,5,3,60,140,114,81.4,#N/A,#N/A,#N/A,#N/A,#N/A,73,493,452,504,16,0.9,12,0.7,338,19.5,718,41.5,477,28.1,107,102,95.3,164,47,18,5,146,42,162,46,25,7,351,78.3,N/A,N/A,691,445,50,170,19,275,31,298,34,141,16,884,76.3,47,690,576,65,114,13,462,52,221,25,85,10,882,84.8,46
Springfield,19.8,2.7,63,12,0.1,0,2.4,52.1,47.9,1,1,100,52,44,84.6,"2,252","1,847",82,"28,994.30","$368,236,341","$70,699,993","$438,936,334","$15,139","1,135",383,373,395,"6,690",26.1,"4,421",17.2,"5,056",19.5,"19,995",77.3,"17,330",67.6,"1,265","1,003",79.3,1141,23,204,4,937,19,2160,43,1690,34,4991,58.3,N/A,N/A,4000,2150,38,788,14,1362,24,1671,30,1828,32,5649,64.4,40,3967,2602,46,378,7,2224,40,1893,34,1115,20,5610,73.5,38
Stoneham,2.1,3.6,5,86.2,0.2,0.1,2.8,49.7,50.3,1,1,100,6,6,100,195,177,90.8,"2,487.00","$32,300,504","$3,802,122","$36,102,626","$14,517",145,506,504,517,212,9.1,50,2.2,437,18.4,723,30.5,317,13.7,182,182,100,339,65,118,23,221,42,137,26,47,9,523,85.9,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Stoughton,19.6,5.4,7.7,63.9,0.1,0.4,3,51.7,48.3,1,1,100,8,8,100,295,249,84.4,"3,751.80","$46,543,761","$4,631,130","$51,174,891","$13,640",199,499,493,512,468,12.8,148,4,572,15.5,"1,383",37.4,829,22.7,218,109,50,453,57,105,13,348,44,264,33,75,9,792,81.7,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sturbridge,0.7,1.3,5.2,87.8,0.3,0,4.7,54,46,1,1,100,1,1,100,71,65,91.5,997.6,"$10,628,663","$1,521,447","$12,150,110","$12,179",#N/A,#N/A,#N/A,#N/A,14,1.4,0,0,122,12.4,242,24.6,147,15,#N/A,#N/A,#N/A,97,67,37,26,60,42,37,26,10,7,144,87.5,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sturgis Charter Public,1,2.1,2.5,89.1,0,0.1,5.2,43.1,56.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,204,575,558,550,17,2.1,0,0,84,10.4,146,18.1,77,9.6,#N/A,#N/A,#N/A,161,94,93,54,68,40,10,6,0,0,171,98.2,N/A,N/A,146,178,96,151,82,27,15,7,4,0,0,185,98.9,70,147,183,100,143,78,40,22,0,0,0,0,183,100,61
Sudbury,2.4,7.5,2.7,81.4,0.1,0.3,5.5,51.9,48.1,1,1,100,5,4,80,222,194,87.4,"2,957.70","$37,773,302","$4,363,072","$42,136,374","$14,246",#N/A,#N/A,#N/A,#N/A,68,2.4,12,0.4,431,14.9,526,18.2,102,3.5,#N/A,#N/A,#N/A,509,72,144,20,365,52,173,25,24,3,706,89.9,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sunderland,2,10.2,11.2,70.7,0,0.5,5.4,53.7,46.3,1,0,0,1,1,100,19,17,89.5,222.6,"$2,409,871","$391,196","$2,801,067","$12,583",#N/A,#N/A,#N/A,#N/A,25,12.2,19,9.3,31,15.1,81,39.5,51,24.9,#N/A,#N/A,#N/A,17,71,4,17,13,54,6,25,1,4,24,89.6,N/A,N/A,81,81,69,36,31,45,38,22,19,14,12,117,83.8,68,82,86,74,22,19,64,55,19,16,11,9,116,86.6,66.5
Sutton,0.7,1.3,1.7,91.7,0.1,0.1,4.4,50.1,49.9,1,1,100,4,2,50,105,98,93.3,"1,576.10","$16,218,634","$2,049,077","$18,267,711","$11,590",93,525,502,535,16,1,8,0.5,268,17.4,348,22.6,104,6.8,93,86,92.5,217,58,31,8,186,49,139,37,21,6,377,83.8,N/A,N/A,730,549,64,210,24,339,39,232,27,78,9,859,83.9,45,732,669,78,162,19,507,59,147,17,46,5,862,90.7,53
Swampscott,3.6,2.2,8.5,83.5,0.2,0.2,1.8,50.6,49.4,1,0,0,5,4,80,186,165,88.7,"2,354.90","$31,039,397","$3,814,050","$34,853,447","$14,800",136,533,525,538,170,7.6,73,3.2,341,15,621,27.3,260,11.6,199,199,100,409,71,124,22,285,50,147,26,18,3,574,89.5,N/A,N/A,1024,940,76,466,37,474,38,230,18,75,6,1245,89.4,45,1029,1058,85,363,29,695,56,153,12,32,3,1243,94.7,52
Swansea,1.4,0.8,2.3,93.9,0.2,0,1.3,50.7,49.3,1,0,0,6,5,83.3,162,153,94.4,"2,098.60","$22,778,965","$2,961,705","$25,740,670","$12,266",83,504,496,520,32,1.5,11,0.5,261,12.4,607,28.7,414,19.8,144,144,100,309,65,88,18,221,46,137,29,31,6,477,85.7,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tantasqua,0.7,1.3,4.5,90.5,0.4,0.1,2.6,50.7,49.3,1,1,100,3,3,100,149,133,89.3,"1,788.30","$20,300,341","$2,598,949","$22,899,290","$12,805",176,530,504,544,11,0.6,1,0.1,214,11.8,456,25.1,286,15.9,247,159,64.4,375,63,90,15,285,48,192,32,26,4,593,86.1,N/A,N/A,853,654,73,363,41,291,33,152,17,85,10,891,87,48,848,768,86,246,27,522,58,97,11,30,3,895,93.9,41
