DISTRICT,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,SUP Total,SUP # Retained,SUP % Retained,PRNC Total,PRNC # Retained,PRNC % Retained,TCHR Total,TCHR # Retained,TCHR % Retained,Total FTE Memb,General Fund Appropriations,"Grants, Revolving & Other Funds",Total Expenditures,Expenditure Per Pupil,SATs Taken,SAT Reading,SAT Writing,SAT Math,EngNot1stLang#,EngNot1stLang%,EngLangLrn#,EngLangLrn%,Disab#,Disab%,HighNeeds#,HighNeeds%,EconDisadv#,EconDisadv%,# Graduated,# Completed MassCore,% Completed MassCore,SCI P+A #,SCI P+A %,SCI A#,SCI A %,SCI P#,SCI P %,SCI NI #,SCI NI %,SCI W/F #,SCI W/F %,SCI Stud. Incl. #,SCI CPI,SCI SGP,SCI Incl. in SGP(#),MTH P+A #,MTH P+A %,MTH A #,MTH A %,MTH P #,MTH P %,MTH NI #,MTH NI %,MTH W/F #,MTH W/F %,MTH Stud. Incl. #,MTH CPI,MTH SGP,MTH Incl. in SGP(#),ELA P+A #,ELA P+A %,ELA A #,ELA A %,ELA P #,ELA P %,ELA NI #,ELA NI %,ELA W/F #,ELA W/F %,ELA Stud. Incl. #,ELA CPI,ELA SGP,ELA Incl. in SGP(#)
UP Academy Charter School of Boston,49.8,4.5,34,9.6,0.4,0,1.7,47.9,52.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,208,44.4,114,24.4,104,22.2,368,78.6,263,56.2,#N/A,#N/A,#N/A,47,33,1,1,46,32,74,52,22,15,143,70.6,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
UP Academy Charter School of Dorchester (District),54.9,1.3,38.2,1.1,0.3,0.2,4,50.1,49.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,142,22.7,140,22.4,109,17.4,500,80,384,61.4,#N/A,#N/A,#N/A,30,38,3,4,27,34,37,47,12,15,79,72.8,N/A,N/A,187,153,51,52,17,101,34,104,35,42,14,299,75.3,62,189,132,44,8,3,124,41,135,45,35,12,302,74.4,63
Up-Island Regional,2.8,1.4,4.2,84.2,2.8,0,4.7,56.1,43.9,1,1,100,2,1,50,50,46,92,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,22,6.1,14,3.9,73,20.2,122,33.8,48,13.3,#N/A,#N/A,#N/A,44,63,8,11,36,51,23,33,3,4,70,87.9,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Upper Cape Cod Regional Vocational Technical,2.6,1.3,3,90.1,1,0.1,1.9,59.1,40.9,1,1,100,1,1,100,65,56,86.2,#N/A,#N/A,#N/A,#N/A,#N/A,86,470,442,471,0,0,0,0,122,17.5,234,33.5,143,20.5,152,152,100,121,68,22,12,99,56,55,31,1,1,177,89,N/A,N/A,172,142,79,79,44,63,35,29,16,9,5,180,91.1,46.5,173,172,96,53,30,119,66,7,4,0,0,179,98.9,43
Uxbridge,0.8,1.9,3.4,91,0.3,0.1,2.5,52.7,47.3,1,1,100,4,3,75,137,122,89.1,"2,094.90","$24,326,972","$1,360,864","$25,687,836","$12,262",70,491,463,497,40,2.1,11,0.6,289,15.1,539,28.2,299,15.8,105,105,100,232,56,43,10,189,46,142,35,37,9,411,82.4,N/A,N/A,809,581,58,214,21,367,37,285,28,138,14,1004,79.9,39,808,700,70,111,11,589,59,247,25,57,6,1004,88,41
Veritas Preparatory Charter School,22.8,1.2,65,6.1,0,0,4.9,52.4,47.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58,23.6,18,7.3,34,13.8,183,74.4,161,65.4,#N/A,#N/A,#N/A,32,39,8,10,24,29,37,45,13,16,82,73.2,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Wachusett,1.7,2.9,4.3,88.8,0.1,0.1,2.1,50.4,49.6,1,0,0,12,11,91.7,464,414,89.2,"7,601.30","$75,189,548","$9,417,086","$84,606,634","$11,131",416,529,522,545,276,3.8,125,1.7,"1,029",13.9,"1,563",21.1,537,7.3,465,190,40.9,1265,73,337,19,928,54,387,22,80,5,1732,90.2,N/A,N/A,3384,3191,77,1700,41,1491,36,696,17,276,7,4163,90.1,52,3373,3472,84,1155,28,2317,56,532,13,153,4,4157,94.2,53
Wakefield,2,3.2,4,88,0.1,0.2,2.5,50.6,49.4,1,0,0,6,5,83.3,252,225,89.3,"3,451.60","$39,831,395","$4,938,699","$44,770,094","$12,971",226,526,521,535,80,2.3,32,0.9,563,16.2,828,23.9,326,9.5,208,208,100,445,59,111,15,334,44,253,34,56,7,754,82.7,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Wales,1.2,1.2,4.2,89.8,0,0,3.6,44.6,55.4,1,1,100,1,1,100,15,15,100,168.5,"$1,955,465","$199,224","$2,154,689","$12,787",#N/A,#N/A,#N/A,#N/A,2,1.2,0,0,23,13.9,61,36.7,45,27.1,#N/A,#N/A,#N/A,13,65,3,15,10,50,6,30,1,5,20,88.8,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Walpole,3.3,4.9,4.7,84.6,0.4,0,2,49.7,50.3,1,1,100,8,8,100,293,273,93.2,"4,049.20","$46,955,075","$7,713,217","$54,668,292","$13,501",278,523,507,529,277,7,109,2.8,610,15.3,919,23,318,8.1,274,3,1.1,681,75,271,30,410,45,190,21,42,5,913,90.1,N/A,N/A,1764,1603,74,874,40,729,34,432,20,130,6,2165,88.7,52,1762,1813,84,654,30,1159,54,286,13,62,3,2161,94.1,50
Waltham,9.4,5.5,35.2,47.1,0.2,0.1,2.4,52.7,47.3,1,1,100,9,7,77.8,458,402,87.8,"5,327.00","$96,476,807","$7,409,092","$103,885,899","$19,502",204,478,480,496,"2,183",41.5,909,17.3,"1,046",19.6,"2,595",48.7,"1,264",24.1,324,219,67.6,524,50,150,14,374,36,381,36,147,14,1052,78,N/A,N/A,1990,1328,51,556,21,772,29,773,29,524,20,2625,75.1,45,1980,1741,66,529,20,1212,46,612,23,269,10,2622,85.1,58
Ware,1.8,0.6,5.6,87.6,0.2,0.3,3.9,51.7,48.3,1,1,100,3,3,100,93,81,87.1,"1,445.50","$16,467,789","$1,960,987","$18,428,776","$12,749",26,487,475,518,23,1.9,15,1.2,229,18.3,654,52.2,538,43.4,67,67,100,115,46,27,11,88,35,107,42,30,12,252,76.3,N/A,N/A,52,58,82,39,55,19,27,6,8,7,10,71,90.1,60.5,56,59,83,30,42,29,41,9,13,3,4,71,93.3,48
Wareham,7.8,0.9,6.1,73.7,1.1,0,10.4,52.1,47.9,1,0,0,7,6,85.7,234,202,86.3,"2,914.60","$36,030,547","$5,250,774","$41,281,321","$14,164",86,486,473,480,25,1,14,0.5,625,23.5,"1,373",51.6,"1,035",39.5,180,118,65.6,195,38,33,6,162,31,241,46,84,16,520,72,N/A,N/A,1032,584,43,177,13,407,30,438,32,349,25,1371,70.5,33,1036,728,53,115,8,613,45,468,34,181,13,1377,80.1,39.5
Watertown,3.7,8.9,12.5,69.6,0.6,0.1,4.5,50.4,49.6,1,1,100,5,3,60,248,212,85.5,"2,815.90","$42,815,887","$5,877,455","$48,693,342","$17,292",140,503,498,532,797,32.1,176,7.1,586,23.1,"1,103",43.4,538,21.7,174,105,60.3,245,47,51,10,194,37,201,39,73,14,519,75.5,N/A,N/A,148,139,80,93,54,46,27,24,14,10,6,173,90.9,59.5,148,155,90,74,43,81,47,14,8,4,2,173,95.8,55
Wayland,5.1,14.8,4.4,70.8,0,0.2,4.8,50.7,49.3,1,1,100,5,4,80,227,210,92.5,"2,729.10","$40,047,060","$4,833,718","$44,880,778","$16,445",173,579,587,620,184,6.9,32,1.2,512,19,612,22.7,109,4.1,203,203,100,488,81,222,37,266,44,106,18,7,1,601,93.8,N/A,N/A,187,190,94,172,85,18,9,8,4,5,2,203,97.2,52,186,194,97,149,75,45,23,4,2,2,1,200,99,48
Webster,4.2,1.8,18,69.8,0.3,0.2,5.8,51.3,48.7,1,1,100,3,3,100,131,120,91.6,"2,015.40","$23,052,679","$3,592,786","$26,645,465","$13,221",63,462,446,482,148,7.9,87,4.6,364,19.1,"1,046",54.8,825,44.1,96,68,70.8,101,25,19,5,82,20,186,45,124,30,411,60.5,N/A,N/A,83,71,66,45,42,26,24,23,21,13,12,107,82.5,71,82,95,86,45,41,50,45,10,9,5,5,110,92.7,58
Wellesley,4.7,10.7,5,74.4,0,0,5.1,49,51,1,1,100,10,8,80,408,359,88,"5,064.00","$77,609,632","$9,024,328","$86,633,960","$17,108",306,607,603,608,315,6.2,100,2,820,16,"1,083",21.2,216,4.3,360,358,99.4,775,71,252,23,523,48,274,25,43,4,1092,89.1,N/A,N/A,1994,2235,83,1331,49,904,33,334,12,140,5,2709,92.3,58,2154,2406,89,955,35,1451,54,230,8,72,3,2708,95.9,55
Wellfleet,1.7,0,3.4,89,0,0,5.9,46.6,53.4,1,1,100,1,1,100,20,18,90,135.5,"$3,192,746","$177,031","$3,369,777","$24,869",#N/A,#N/A,#N/A,#N/A,1,0.8,0,0,18,15.3,40,33.9,28,23.7,#N/A,#N/A,#N/A,17,68,2,8,15,60,8,32,0,0,25,89,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
West Boylston,1.7,1.4,7,87.2,0.1,0,2.6,48.7,51.3,1,1,100,2,1,50,79,63,79.7,"1,045.80","$13,346,529","$1,448,009","$14,794,538","$14,147",56,521,515,528,33,3.5,20,2.1,149,15.8,252,26.8,124,13.3,67,67,100,138,63,38,17,100,46,71,33,9,4,218,86.1,N/A,N/A,429,351,68,170,33,181,35,116,22,51,10,518,85,49,427,398,77,119,23,279,54,87,17,31,6,516,90.5,54
West Bridgewater,2.5,1.5,1.8,91.4,0.1,0.2,2.5,48.2,51.8,1,1,100,3,3,100,90,83,92.2,"1,357.00","$12,348,246","$2,577,328","$14,925,574","$10,999",88,506,501,506,12,0.9,7,0.5,135,10.2,308,23.3,186,14.2,104,104,100,207,66,44,14,163,52,92,29,15,5,314,86.1,N/A,N/A,97,85,85,51,51,34,34,12,12,3,3,100,94.3,33,98,96,95,56,55,40,40,3,3,2,2,101,99.3,43
West Springfield,3.8,6.5,17.2,69.7,0.2,0.1,2.6,52,48,1,1,100,8,8,100,308,284,92.2,"4,051.00","$47,250,348","$6,044,268","$53,294,616","$13,156",134,489,468,507,"1,074",27,323,8.1,807,20.1,"2,155",53.7,"1,623",40.8,253,116,45.8,436,52,123,15,313,37,305,36,95,11,836,79.2,N/A,N/A,243,222,77,146,51,76,26,35,12,32,11,289,88.1,37,242,247,86,116,40,131,45,29,10,12,4,288,95.2,41
Westborough,1.6,25.6,5.5,63.8,0.1,0.1,3.3,52.2,47.8,1,1,100,6,4,66.7,276,256,92.8,"3,637.60","$50,035,975","$3,568,636","$53,604,611","$14,736",268,561,548,585,744,20.5,323,8.9,557,15.2,"1,038",28.4,229,6.3,269,269,100,627,77,243,30,384,47,151,19,35,4,813,91.2,N/A,N/A,221,229,94,194,80,35,14,7,3,7,3,243,97.4,64,219,233,96,194,80,39,16,6,2,3,1,242,98.9,67
Westfield,2,2.7,11.4,82,0.1,0.1,1.6,51.5,48.5,1,1,100,12,7,58.3,466,414,88.8,"5,811.30","$70,423,150","$7,904,103","$78,327,253","$13,478",236,511,487,504,407,7.1,233,4.1,"1,001",17.4,"2,483",43.3,"1,770",31.1,468,331,70.7,623,52,110,9,513,43,437,36,141,12,1201,77.9,N/A,N/A,2306,1633,56,708,24,925,32,767,26,521,18,2921,77,51,2300,1939,66,465,16,1474,51,736,25,242,8,2917,85.7,47
Westford,0.7,21.3,1.3,73.4,0.1,0,3.2,51.1,48.9,1,1,100,10,9,90,382,350,91.6,"5,216.60","$58,717,821","$6,641,422","$65,359,243","$12,529",395,579,565,602,632,12.3,36,0.7,637,12.3,828,16,171,3.3,403,403,100,1015,83,425,35,590,48,191,16,22,2,1228,93.8,N/A,N/A,382,388,96,342,85,46,11,8,2,7,2,403,98.7,38,385,398,98,321,79,77,19,3,1,5,1,406,99.5,55
Westhampton,0,0,3.4,94.6,0,0,2,45,55,1,1,100,1,1,100,14,14,100,163.5,"$2,159,331","$193,961","$2,353,292","$14,393",#N/A,#N/A,#N/A,#N/A,2,1.3,2,1.3,41,27.3,51,34,13,8.7,#N/A,#N/A,#N/A,21,91,9,39,12,52,2,9,0,0,23,96.7,N/A,N/A,60,63,78,28,35,35,43,16,20,2,2,81,91,63.5,61,64,79,21,26,43,53,14,17,3,4,81,92.6,56
Weston,6.8,13.4,5.1,70.1,0.3,0,4.4,50.9,49.1,1,1,100,5,5,100,217,188,86.6,"2,343.40","$45,941,005","$4,799,453","$50,740,458","$21,652",134,600,603,626,208,9.2,80,3.6,391,17.1,538,23.5,77,3.4,211,202,95.7,427,74,147,25,280,48,135,23,16,3,578,90.3,N/A,N/A,172,188,96,153,78,35,18,5,3,2,1,195,98.6,57,171,190,98,148,76,42,22,3,2,1,1,194,99.4,44
Westport,0.5,0.7,2.4,92.9,0.3,0,3.2,52.1,47.9,1,0,0,4,2,50,120,107,89.2,"1,647.20","$18,709,946","$2,518,895","$21,228,841","$12,888",53,508,501,496,34,2.2,7,0.4,262,16.7,507,32.3,313,20,111,91,82,237,64,60,16,177,47,116,31,20,5,373,86.1,N/A,N/A,706,545,60,257,28,288,32,244,27,116,13,905,81.8,44,705,651,72,151,17,500,55,199,22,57,6,907,88.7,46
Westwood,2.1,8.3,3,84.3,0.1,0.1,2.2,50.1,49.9,1,1,100,8,8,100,233,213,91.4,"3,196.50","$42,687,978","$6,337,101","$49,025,079","$15,337",245,565,561,579,145,4.5,34,1.1,536,16.6,652,20.2,97,3,212,203,95.8,564,71,216,27,348,44,199,25,30,4,793,89.1,N/A,N/A,232,244,95,199,77,45,18,7,3,6,2,257,98.5,46,235,252,98,198,77,54,21,2,1,3,1,257,99.5,48
Weymouth,5.6,4.5,7,79.6,0.3,0.1,3,50.9,49.1,1,1,100,12,7,58.3,439,398,90.7,"6,902.60","$78,341,421","$11,285,310","$89,626,731","$12,984",288,504,486,489,524,7.8,210,3.1,"1,167",17.1,"2,475",36.3,"1,476",22,485,136,28,739,51,189,13,550,38,509,35,189,13,1437,77.9,N/A,N/A,400,355,75,179,38,176,37,81,17,35,7,471,89.3,49,376,426,91,186,40,240,51,34,7,9,2,469,97.1,55
Whately,0,0,2.2,96.3,0,0,1.5,51.9,48.1,1,0,0,1,1,100,14,13,92.9,155.3,"$1,978,035","$392,646","$2,370,681","$15,265",#N/A,#N/A,#N/A,#N/A,1,0.7,0,0,15,11.1,40,29.6,28,20.7,#N/A,#N/A,#N/A,10,56,2,11,8,44,8,44,0,0,18,84.7,N/A,N/A,48,44,65,16,24,28,41,20,29,4,6,68,86.4,42,47,49,72,8,12,41,60,15,22,4,6,68,89,56
Whitman-Hanson,1.9,0.8,2.8,91.9,0.3,0.1,2.1,51.3,48.7,1,1,100,7,6,85.7,249,224,90,"4,227.40","$41,706,110","$5,328,679","$47,034,789","$11,126",203,495,494,511,26,0.6,11,0.3,581,14.2,"1,153",28.1,705,17.4,305,271,88.9,507,54,130,14,377,40,357,38,77,8,941,80.5,N/A,N/A,267,236,83,152,53,84,29,37,13,12,4,285,93.2,49,264,270,96,142,50,128,45,7,2,5,2,282,98.2,42
Whittier Regional Vocational Technical,1.6,1,16.6,78.3,0.1,0,2.4,55.9,44.1,1,1,100,1,1,100,111,105,94.6,#N/A,#N/A,#N/A,#N/A,#N/A,197,456,448,468,47,3.6,10,0.8,320,24.5,549,42,294,22.5,297,297,100,237,72,48,15,189,57,74,22,18,5,329,87.8,N/A,N/A,315,271,77,149,42,122,35,67,19,13,4,351,90.5,56,314,327,93,115,33,212,60,23,7,2,1,352,97.3,55
Williamsburg,0,1.3,3.2,94.9,0.6,0,0,47.5,52.5,1,1,100,1,1,100,18,15,83.3,198.6,"$2,583,460","$268,761","$2,852,221","$14,362",#N/A,#N/A,#N/A,#N/A,3,1.9,3,1.9,30,19,50,31.6,25,15.8,#N/A,#N/A,#N/A,13,72,2,11,11,61,5,28,0,0,18,90.3,N/A,N/A,69,61,62,32,33,29,30,29,30,8,8,98,81.4,74,69,62,63,14,14,48,49,25,26,11,11,98,83.4,52
Williamstown,0.9,3.7,5.9,82.1,0,0,7.4,50.1,49.9,1,1,100,1,1,100,37,36,97.3,438.6,"$5,518,574","$1,055,004","$6,573,578","$14,988",#N/A,#N/A,#N/A,#N/A,8,1.7,4,0.9,56,12.2,122,26.5,71,15.5,#N/A,#N/A,#N/A,38,70,18,33,20,37,12,22,4,7,54,89.4,N/A,N/A,159,188,76,98,40,90,36,44,18,16,6,248,90.4,48,159,208,84,89,36,119,48,30,12,11,4,249,94.2,58
Wilmington,1.2,4.2,3.5,88.2,0.1,0.2,2.6,51,49,1,1,100,6,4,66.7,286,252,88.1,"3,590.70","$47,553,323","$5,100,505","$52,653,828","$14,664",223,518,507,534,67,1.9,32,0.9,579,16.5,825,23.5,282,8.2,213,213,100,445,54,96,12,349,42,317,39,60,7,822,81.8,N/A,N/A,1593,1328,68,657,34,671,35,413,21,200,10,1941,85.4,53,1591,1505,78,445,23,1060,55,337,17,95,5,1937,91.4,51
Winchendon,1.7,2.4,5.6,87.6,0.3,0.1,2.4,52.1,47.9,1,1,100,4,1,25,115,103,89.6,"1,534.30","$16,218,751","$2,612,067","$18,830,818","$12,273",37,509,470,504,45,3.3,19,1.4,275,20.1,629,45.9,448,33.3,79,22,27.8,109,37,18,6,91,31,139,48,44,15,292,71.6,N/A,N/A,62,43,57,22,29,21,28,22,29,10,13,75,77.7,48,60,58,79,15,21,43,59,12,16,3,4,73,91.8,25.5
Winchester,1,14.7,2.9,76.9,0.2,0,4.2,50.7,49.3,1,1,100,8,7,87.5,334,295,88.3,"4,494.60","$50,958,339","$5,578,207","$56,536,546","$12,579",259,591,587,611,579,12.9,165,3.7,696,15.3,"1,036",22.7,167,3.7,271,252,93,811,85,381,40,430,45,126,13,21,2,958,94.5,N/A,N/A,1997,2082,84,1269,51,813,33,306,12,83,3,2471,93.5,50,1992,2215,90,1000,40,1215,49,210,8,49,2,2474,96,55
Winthrop,1.7,0.8,10.4,85.1,0.3,0.1,1.7,50,50,1,1,100,4,3,75,153,126,82.4,"2,010.50","$22,128,031","$2,621,603","$24,749,634","$12,310",102,472,477,490,293,15.1,150,7.7,334,17.1,793,40.6,443,22.9,138,138,100,194,47,44,11,150,36,177,43,43,10,414,77.7,N/A,N/A,820,540,52,213,20,327,31,289,28,213,20,1042,74.7,40,829,731,70,177,17,554,53,245,23,70,7,1046,87.4,50
Woburn,6.4,7.8,9.5,73.3,0.4,0.1,2.5,50.5,49.5,1,1,100,11,11,100,358,335,93.6,"4,956.30","$68,527,051","$6,106,956","$74,634,007","$15,058",252,491,475,507,743,15.6,203,4.3,858,17.8,"1,852",38.4,"1,037",21.8,294,287,97.6,571,54,111,11,460,44,396,37,90,9,1057,81.5,N/A,N/A,275,260,79,163,50,97,30,43,13,25,8,328,89.6,45,271,298,91,160,49,138,42,15,5,14,4,327,95.9,44
Worcester,14.9,7.5,39.6,33.6,0.2,0,4.1,51.4,48.6,1,1,100,48,40,83.3,"1,636","1,296",79.2,"27,906.00","$330,638,928","$54,291,298","$384,930,226","$13,794",982,430,420,450,"12,018",47.6,"8,855",35.1,"4,957",19.3,"18,625",72.5,"12,478",49.4,"1,520",418,27.5,1584,33,323,7,1261,26,2034,42,1175,25,4793,66,N/A,N/A,4155,2680,46,1183,20,1497,26,1703,29,1390,24,5773,71.4,50,4144,3413,59,891,15,2522,44,1632,28,713,12,5758,81.4,52
Wrentham,1,1.7,2.8,91.4,0,0,3.1,53.8,46.2,1,0,0,2,2,100,80,72,90,"1,125.60","$12,347,244","$1,447,109","$13,794,353","$12,255",#N/A,#N/A,#N/A,#N/A,20,1.9,9,0.8,170,15.9,229,21.4,72,6.8,#N/A,#N/A,#N/A,119,73,57,35,62,38,42,26,3,2,164,90.1,N/A,N/A,449,493,81,265,43,228,37,101,17,17,3,611,92.6,56,449,494,81,151,25,343,56,91,15,24,4,609,92.6,51
